Sample_ID,Trt,Block,Year,Weight,001: 10:0,003: 11:0 anteiso,004: 11:0,005: 10:0 2OH,008: 12:0 anteiso,011: 12:0,013: 13:0 anteiso,017: 13:0,019: 14:0 iso,020: 14:0 anteiso,024: 14:1 w5c,026: 14:0,028: 15:1 iso w6c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,034: 15:1 w9c,037: 15:1 w6c,038: 15:1 w5c,039: 16:1 w9c aldehyde,041: 15:0,042: 16:1 w7c alcohol,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,051: 16:1 w6c,052: 16:1 w5c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,060: 17:1 anteiso w7c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,065: 17:1 w7c,066: 17:1 w6c,067: 17:0 cyclo w7c,068: 17:1 w5c,069: 17:1 w4c,070: 17:1 w3c,071: 17:0,072: 17:1 w7c 10-methyl,073: 16:0 2OH,074: 17:0 10-methyl,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:0,087: 18:1 w7c 10-methyl,088: 17:0 iso 3OH,089: 18:0 10-methyl,092: 19:0 iso,094: 19:0 anteiso,097: 19:1 w7c,099: 19:0 cyclo w9c,100: 19:0 cyclo w7c,102: 19:1 w7c 10-methyl,106: 20:0 iso,108: 20:1 w9c,109: 20:1 w8c,110: 20:1 w6c,113:20:00,tot.biomass
14,Control,7,Post.2018,2.0822,0,0,0,0,0,0,0,0,6.370761666,0.5137615,0,6.627246269,5.977260916,1.922848776,38.27552526,31.09708628,0,0,0,0,4.07440616,1.792832574,16.3528583,1.335986685,7.682437773,44.13063543,0,56.50189767,86.86749148,0,47.00733182,9.334913467,4.260467877,0,16.8778883,13.8531471,5.970454575,0,0,6.314297142,0,0,0,3.142014394,8.642755847,0.669053546,3.641194769,3.136839525,14.29766731,45.96998035,83.59925908,9.679711103,24.29413829,7.204641133,1.585209886,12.69576488,5.689243607,0,3.193128449,0,10.25809712,0,0.910514199,5.893560001,0,1.177459445,5.020632908,663.8424029
15,Compost,8,Post.2018,2.0224,0,0,0,0,0,0,0.431929668,0,6.180499842,0.60770009,0.464237087,5.170067097,4.470540394,1.278225391,29.35444904,23.9561671,0,0,0.372825066,0,3.124114365,1.770801203,11.93878578,1.216518081,7.028081263,37.57973911,0,35.63312691,56.19533329,0,38.43157317,6.283028038,2.741933502,0.898819022,11.21949611,9.472542755,5.607141795,0,0,7.0848129,0,0,0,2.373806048,5.125131664,0,2.792698472,2.219561651,11.31544636,36.37164443,63.63635043,6.781419797,14.41104129,5.258202811,0,7.632523195,3.270279524,0,2.004030043,0,13.16209975,0,0.613627719,5.381515546,0,1.017399972,2.748555378,494.6278221
16,Control,8,Post.2018,2.0744,0,0,0,0,0,0,0,0,4.735899545,0,0,5.024174889,3.989609992,1.370849725,28.88268992,24.38022981,0,0,0,0,2.419356017,1.158593185,10.79075305,0.831756412,6.212070056,31.69937296,4.96847165,40.09660396,59.35703494,0,35.57530018,8.715457036,2.697633599,0,13.29529279,9.910837564,3.942184048,0,3.797684069,0,0,0,0,2.059844076,3.868248134,0,2.230431851,2.043705637,6.262402259,33.43958281,65.07961945,7.515991909,19.18166676,5.459342167,0,7.612794097,0,0,2.862570442,0,6.056777017,0,0,4.189344686,0,1.078329183,3.136619038,475.9291249
1,Compost,1,Pre.2019,2.2223,0,0,0,0,0,15.63677539,0,0,18.64574111,0,0,15.06113704,1.870778403,0,52.64110166,36.82380915,0.778210167,0,0,11.04638369,15.99255191,0,19.16379298,1.137279216,0,29.55371522,0,17.16323891,148.5173982,0,43.57386233,6.408905939,0,1.413423556,19.69529916,18.34044336,0,0,0,0,0,0,4.146965179,5.678023616,7.049807512,0,5.099774528,1.473589574,2.288318404,10.56826323,34.43134205,10.03722426,37.31588634,1.577992453,7.675008563,16.43078907,3.060564562,4.394499032,0,0,0,0,0,0,0,0,10.99870382,635.6905996
2,Control,1,Pre.2019,2.1237,0,0,0,0,0,1.709683199,0,0,3.837941571,0,0,3.753312815,3.983156733,1.354063834,24.53709074,19.59219177,0,0,0,1.375444821,2.893639473,0.892120347,9.279914649,0.954033465,5.848673308,43.38094362,0,44.69315028,64.68424574,39.81978975,0,8.506861444,5.683064491,0,10.00591389,11.57094403,3.992898039,2.004550665,2.947035051,0,0,0,0,2.183133328,3.96891139,0,1.847763671,2.236229639,9.172405792,40.24327213,83.60180478,9.497193683,17.81873503,6.089618896,1.952175176,8.912584048,3.549950282,2.604098835,3.940005821,0,4.340759006,0,0,4.042431179,0,2.011788128,4.027133963,529.3406585
3,Compost,2,Pre.2019,2.2529,0,0,0,0,0,0,0,0,2.558248654,0,0,4.10502813,2.655753185,1.031638428,19.63514654,15.88270652,0,0,0,0.876253347,3.140673896,0,7.40636614,0,0,36.7928609,0,27.27893677,67.62163132,0,27.03642959,0,3.383484475,0,9.007937169,8.757642281,2.05373534,1.979233987,1.348157953,0,0,0,0,1.912309679,2.496929589,0,1.387952177,1.146558515,4.462166538,26.11449901,75.09744981,7.897659428,24.08405163,4.745445603,1.327766798,8.277698512,4.433533501,1.932904836,3.246715049,1.905892581,0,0,0,2.986791213,0,2.07646793,3.713569832,421.7982269
4,Control,2,Pre.2019,2.3855,0,0,0,0,0,0,0,0,2.79981929,0,0,4.840955375,2.969971345,0,26.2714168,20.72400924,0,0,0,0,3.16962884,0,10.58747999,0,0,0,0,36.68903785,93.96479749,0,30.24526008,0,0,0,12.98683756,11.44341465,1.779042525,0,0,0,0,0,0,2.764841564,3.590604524,0,1.712800792,0,4.319337954,23.8733512,84.04093928,11.75072747,34.6718718,2.657691839,0,10.20356257,0,2.270937967,5.085344742,0,0,0,0,2.381042942,0,4.688343985,6.538054489,459.0211242
5,Compost,3,Pre.2019,2.2305,0,0,0,0,0,0,0,0,2.072360223,0,0,3.210066772,3.01838563,1.169420829,18.65679468,15.11032244,0,0,0,0.817164096,2.266529967,0,7.686276219,0,4.455391893,35.98510388,0,24.18676664,55.7809675,0,41.40257361,0,3.569591883,0,9.810323217,9.263593954,3.453731614,0,3.494001924,0,0,0,0,1.992857754,2.572007802,0,1.535429795,1.583065875,6.545932917,29.62962051,68.39382231,6.402007802,15.68261308,5.466384566,1.48569042,7.691887788,0,0,2.927982213,0,4.203277565,0,0,3.246967925,0,1.872867123,3.966904838,410.6086873
6,Control,3,Pre.2019,2.0743,0,0,0,0,0,0,0,0,2.297320722,0,0,4.109078439,2.893998935,0,21.6845331,18.39738201,0,0,0,0,1.468734324,0,9.656072745,0,0,0,0,22.38655605,80.51664948,0,25.51411031,0,3.251460964,0,10.4878162,11.17654606,1.867331321,0,0,0,0,0,0,3.118615723,4.04179227,0,2.487432328,0,3.267926285,17.20851594,71.02485225,9.867974964,30.49153205,2.438357418,0,10.8069813,0,0,5.233361512,0,0,0,0,0,0,4.321914659,6.028897847,386.0457452
7,Compost,4,Pre.2019,2.2508,0,0,0,0,0,1.1074797,0,0,2.277806891,0,0,3.293784748,3.616360359,1.378647609,20.70995184,16.01238033,0,0.450116939,0,0.622757137,2.38936298,1.413774052,9.232310758,0.87980451,6.580710274,38.19169352,0,31.89636672,52.45296133,0,42.06219168,5.293905938,4.810968788,0,9.36750478,9.95863838,5.540739966,0,0,5.081520735,0,0,0,1.90772871,3.37595679,0.800162113,1.943146372,3.130459728,14.05560084,42.2536438,76.01315814,8.382437882,14.89399042,7.854879758,3.96686447,9.243911529,4.875896774,0,2.040226783,0,16.09412856,0,0,3.279150525,0,0.795641645,3.297992272,492.8267171
